Price,Close,High,Low,Open,Volume,Stock Name
Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,
Date,,,,,,
2023-01-02,565.390869140625,569.3533629641604,546.0186306682211,548.342322321622,914780,Cdsl
2023-01-03,564.1434326171875,569.671397067899,560.6701367724568,568.7174843085205,395858,Cdsl
2023-01-04,555.0443725585938,566.0513341761621,553.1120631834783,564.5837392938197,328722,Cdsl
2023-01-05,551.693359375,562.0888228081357,549.9566815971825,557.7349461798815,292742,Cdsl
2023-01-06,546.5812377929688,554.1638107953389,545.456057912435,554.1638107953389,277596,Cdsl
2023-01-09,541.2000732421875,551.766743994414,538.6072985089613,549.3696605136818,455340,Cdsl
2023-01-10,539.2677001953125,544.1841666881909,538.1180962058263,542.9122631313852,362632,Cdsl
2023-01-11,536.2591552734375,542.1295349029949,535.6721411971176,539.5857276168226,347084,Cdsl
2023-01-12,527.6737060546875,538.5338833540482,526.4262266264196,538.0202610197957,727008,Cdsl
2023-01-13,527.1845703125,531.4650555217333,525.080993694469,530.144184255787,501502,Cdsl
2023-01-16,523.6622924804688,532.1499306960485,521.8277988690188,528.6521509335661,560630,Cdsl
2023-01-17,518.9170532226562,525.1788148243501,515.9818636687218,524.4205336362833,630440,Cdsl
2023-01-18,516.9847412109375,521.0206268259313,515.6149622064878,519.137165765667,437580,Cdsl
2023-01-19,515.5905151367188,518.3789812265827,513.7560215446721,516.9847780399449,440568,Cdsl
2023-01-20,514.7833251953125,517.6940307991167,513.7070532512527,513.7070532512527,391012,Cdsl
2023-01-23,517.5473022460938,524.2248707863315,515.4926933336765,516.9847719910518,524132,Cdsl
2023-01-24,512.0437622070312,520.0177172232391,510.4538679634042,520.0177172232391,604242,Cdsl
2023-01-25,502.89581298828125,514.6120874684464,501.91741646495774,513.0711607174795,699274,Cdsl
2023-01-27,496.4873352050781,506.68710717151345,491.6931682817258,506.3202084697238,835350,Cdsl
2023-01-30,496.9765319824219,503.8742156120464,490.5435628203685,496.04704333069424,459352,Cdsl
2023-01-31,509.5733947753906,510.72299877759764,495.58230620424683,497.5146453609356,450472,Cdsl
2023-02-01,499.8138732910156,520.9716683926548,495.5822963557123,513.168979953025,749010,Cdsl
2023-02-02,493.3564453125,508.2769922455999,488.70906184153444,489.1493522189428,850082,Cdsl
2023-02-03,494.04132080078125,498.98221114428554,491.6442374509872,494.09022868208666,555720,Cdsl
2023-02-06,494.0168762207031,496.4628676459842,492.1334747665542,494.09026790677905,365898,Cdsl
2023-02-07,489.7608337402344,496.6340630941984,488.7824372526013,496.43837185335525,565568,Cdsl
2023-02-08,484.1595458984375,491.15507536272196,479.9524227562508,484.30629941144895,1061092,Cdsl
2023-02-09,489.5162658691406,491.15506814723096,479.41430954610195,486.58107621885836,1227834,Cdsl
2023-02-10,489.7608337402344,500.93900166812557,488.2198473288958,490.2010942446945,824104,Cdsl
2023-02-13,484.4041442871094,491.32628205498884,482.8387038147342,489.76087144090724,509798,Cdsl
2023-02-14,481.4444885253906,488.0975730424872,480.39270030340515,485.6760356385457,441540,Cdsl
2023-02-15,483.3768005371094,486.458773536816,480.3927030217376,480.3927030217376,449962,Cdsl
2023-02-16,488.4644470214844,497.9793588464905,484.3062619441858,484.3062619441858,802774,Cdsl
2023-02-17,492.7694091796875,495.26433826042495,488.4644703947375,488.70906952863567,484154,Cdsl
2023-02-20,486.7522888183594,495.2154130944973,485.3091479200533,495.2154130944973,420544,Cdsl
2023-02-21,487.755126953125,491.5953512704471,486.75227647576315,489.1982678148373,341594,Cdsl
2023-02-22,487.9997253417969,490.0299100934452,483.3278878629582,488.12202490856384,481928,Cdsl
